FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,
RECORD_HEADER,Generic Record Header,,,1,1,1,REC_HEAD,20,20,0,
LINE OF FULL RESOLUTION SIGMA_ZERO SAMPLES and associated data,,,,,,,,,,,
UTC_LOCALISATION,UTC time associated to the echo data (localisation time T_0),0,UTC,6,1,1,long cds time,8,48,20,
SAT_TRACK_AZI,Azimuth angle bearing of nadir track velocity,4,deg,6,1,1,integer4,4,24,68,
ORBIT_NUMBER,Orbit number,0,count,6,1,1,u-integer4,4,24,92,
AS_DES_PASS,Ascending/descending pass indicator,n/a,n/a,6,1,1,boolean,1,6,116,
BEAM_NUMBER,Antenna Beam number,n/a,n/a,6,1,1,enumerated,1,6,122,
ANTENNA BEAM FULL-RESOLUTION SIGMA_0 VALUES and associated data,,,,,,,,,,,
SIGMA0_FULL,Full-resolution sigma_0 values,6,dB,256,6,1,integer4,4,6144,128,
INC_ANGLE_FULL,Full-resolution incidence angle values,6,deg,256,6,1,integer4,4,6144,6272,
AZI_ANGLE_FULL,Full-resolution azimuth angle values,6,deg,256,6,1,integer4,4,6144,12416,
LATITUDE_FULL,Latitude,6,deg,256,6,1,integer4,4,6144,18560,
LONGITUDE_FULL,Longitude,6,deg,256,6,1,integer4,4,6144,24704,
ATMOSPHERIC_HEIGHT_FULL,Height of atmowphere used,3,km,256,6,1,u-integer2,2,3072,30848,
ATMOSPHERIC_LOSS_FULL,Atmospheric loss per unit length of atmosphere,10,dB/km,256,6,1,u-integer4,4,6144,33920,
FLAGFIELD_SIN,Flag field related to replacement by sinthetic values,n/a,n/a,6,1,1,bitst(8),1,6,40064,
FLAGFIELD_RF,Flag field related to the quality of reference functions,n/a,n/a,6,1,1,bitst(8),1,6,40070,
FLAGFIELD_PL,Flag field related to platform orbit/attitude quality,n/a,n/a,6,1,1,bitst(8),1,6,40076,
FLAGFIELD_GEN1,Flag field related to other/summary qualifiers (1-dim),n/a,n/a,6,1,1,bitst(8),1,6,40082,
FLAGFIELD_GEN2,Flag field related to other/summary qualifiers (256-dim),n/a,n/a,256,6,1,bitst(8),1,1536,40088,
SIZE OF THE RECORD,,,,,,,,,,41624,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
