FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,,,,,
RECORD_HEADER,Generic Record Header,,,1,1,1,REC_HEAD,20,20,0,,,,,
Quality of MDR has been degraded from nominal due to a processing degradation. ,,,,,,,,,,,,,,,
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation.,n/a,n/a,1,1,1,boolean,1,1,20,,,,,
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation. ,n/a,n/a,1,1,1,boolean,1,1,21,,,,,
ANTENNA BEAM associated data,,,,,,,,,,,,,,,
UTC_LOCALISATION,UTC time associated to the echo data (localisation time T_0),0,UTC,1,1,1,short cds time,6,6,22,,,,,
SAT_TRACK_AZI,Azimuth angle bearing (range: 0 to 360) of nadir track velocity,2,deg,1,1,1,u-integer2,2,2,28,,,,,
AS_DES_PASS,Ascending/descending pass indicator,n/a,n/a,1,1,1,boolean,1,1,30,,,,,
BEAM_NUMBER,Antenna Beam number,n/a,n/a,1,1,1,enumerated,1,1,31,,,,,
SIGMA0_FULL,Full-resolution sigma_0 values,6,dB,192,1,1,integer4,4,768,32,,,,,
INC_ANGLE_FULL,Full-resolution incidence angle values,2,deg,192,1,1,u-integer2,2,384,800,,,,,
AZI_ANGLE_FULL,"Full-resolution azimuth angle values (range: -180 to +180, where minus is west and plus is east)",2,deg,192,1,1,integer2,2,384,1184,,,,,
LATITUDE_FULL,Latitude (-90 to 90 deg) ,6,deg,192,1,1,integer4,4,768,1568,,,,,
LONGITUDE_FULL,Longitude (0 to 360 deg) ,6,deg,192,1,1,integer4,4,768,2336,,,,,
LAND_FRAC,Estimation of the land fraction in the measurement,2,n/a,192,1,1,u-integer2,2,384,3104,,,,,
FLAGFIELD_RF1,Flag field related to the quality of reference functions - bits defined in PFS Doc,n/a,n/a,1,1,1,bitst(8),1,1,3488,,,,,
FLAGFIELD_RF2,Flag field related to the quality of reference functions - bits defined in PFS Doc,n/a,n/a,1,1,1,bitst(8),1,1,3489,,,,,
FLAGFIELD_PL,Flag field related to platform orbit/attitude quality - bits defined in PFS Doc,n/a,n/a,1,1,1,bitst(8),1,1,3490,,,,,
FLAGFIELD_GEN1,Flag field related to other/summary qualifiers (1-dim) - bits defined in PFS Doc,n/a,n/a,1,1,1,bitst(8),1,1,3491,,,,,
FLAGFIELD_GEN2,Flag field related to other/summary qualifiers (256-dim) - bits defined in PFS Doc,n/a,n/a,192,1,1,bitst(8),1,192,3492,,,,,
SIZE OF THE RECORD,,,,,,,,,,3684,,,,,
