FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,,,,,
RECORD_HEADER,Generic Record Header,,,1,1,1,REC_HEAD,20,20,0,,,,,
Quality of MDR has been degraded from nominal due to a processing degradation. ,,,,,,,,,,,,,,,
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation.,n/a,n/a,1,1,1,boolean,1,1,20,,,,,
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation. ,n/a,n/a,1,1,1,boolean,1,1,21,,,,,
ANTENNA BEAM associated data,,,,,,,,,,,,,,,
UTC_LOCALISATION,UTC time associated to the echo data (localisation time T_0),0,UTC,1,1,1,short cds time,6,6,22,,,,,
SAT_TRACK_AZI,Azimuth angle bearing (range: 0 to 360) of nadir track velocity,2,deg,1,1,1,u-integer2,2,2,28,,,,,
AS_DES_PASS,"Ascending/descending pass indicator (0=DESC, 1=ASC)",n/a,n/a,1,1,1,boolean,1,1,30,,,,,
BEAM_NUMBER,Antenna Beam number,n/a,n/a,1,1,1,enumerated,1,1,31,,,,,
SIGMA0_FULL,Full-resolution sigma_0 values,6,dB,192,1,1,integer4,4,768,32,,,,,
INC_ANGLE_FULL,Full-resolution incidence angle values,2,deg,192,1,1,u-integer2,2,384,800,,,,,
AZI_ANGLE_FULL,"Azimuth angle of the up-wind direction for a given antenna beam (range: -180 to +180, where minus is west and plus is east with respect to North)",2,deg,192,1,1,integer2,2,384,1184,,,,,
LATITUDE_FULL,Latitude (-90 to 90 deg) ,6,deg,192,1,1,integer4,4,768,1568,,,,,
LONGITUDE_FULL,Longitude (0 to 360 deg) ,6,deg,192,1,1,integer4,4,768,2336,,,,,
LCR,Land Contamination Ratio estimate (based on SRF),4,n/a,192,1,1,u-integer2,2,384,3104,,,,,
FLAGFIELD,Flag field containing quality information,n/a,n/a,192,1,1,u-integer4,4,768,3488,,,,,
SIZE OF THE RECORD,,,,,,,,,,4256,,,,,
