FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET
RECORD_HEADER,Generic Record Header,,,1,1,1,REC_HEAD,20,20,0
LINE OF 50 KM RES NODES and associated data,,,,,,,,,,
UTC_LINE_NODES,UTC time of line of 50 km nodes,n/a,UTC,1,1,1,short cds time,6,6,20
SAT_TRACK_AZI,Azimuth angle bearing of nadir track velocity,2,deg,1,1,1,u-integer2,2,2,26
50 KM RESOLUTION NODE and associated data,,,,,,,,,,
NODE_NUM,"50 km node number as used in the PGF (ref AD-2]), i.e., (10 to -10) for the left swath in the left-to-right order, (-10 to 10) for the right swath in the left-to-right order, 0 corresponding to the mid swath position in both swaths. ",0,count,42,1,1,integer2,2,84,28
SWATH INDICATOR,Swath (right or left),n/a,n/a,42,1,1,boolean,1,42,112
LATITUDE,Latitude (-90 to 90 deg),6,deg,42,1,1,integer4,4,168,154
LONGITUDE,Longitude (0 to 360 deg),6,deg,42,1,1,integer4,4,168,322
ATMOSPHERIC_HEIGHT,Height of atmowphere used,3,km,42,1,1,u-integer2,2,84,490
ATMOSPHERIC_LOSS,Atmospheric loss per unit length of atmosphere,10,dB/km,42,1,1,u-integer4,4,168,574
50 KM RESOLUTION TRIPLET COMPONENT and associated data,,,,,,,,,,
SIGMA0_TRIP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) sigma zero values",6,dB,3,42,1,integer4,4,504,742
KP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) kp values (values between 0 and 1)",4,n/a,3,42,1,u-integer2,2,252,1246
INC_ANGLE_TRIP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) incidence angle values",2,deg,3,42,1,u-integer2,2,252,1498
AZI_ANGLE_TRIP,"Smoothed to 50 km spatial resolution triplet (fore, mid, aft) azimuth angle values",2,deg,3,42,1,integer2,2,252,1750
F_KP,Flag related to the quality of the Kp estimate (ref. Ad-2),n/a,n/a,3,42,1,boolean,1,126,2002
F_USABLE,Flag related to the usability of the averaged value (ref. Ad-2),n/a,n/a,3,42,1,enumerated,1,126,2128
F_F,Flag related to the use of synthetic data in the generation of averaged value (ref. Ad-2) (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,2254
F_V,Flag related to the quality of the used of synthetic data in the generation of averaged value (ref. Ad-2)  (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,2506
F_OA,Flag related to orbit/atticute quality in the generation of averaged value (ref. Ad-2)  (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,2758
F_SA,Flag related to solar array reflection contamination in the generation of averaged value (ref. Ad-2)  (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,3010
F_TEL,Flag related to telemtry quality in the generation of averaged value (ref. Ad-2) (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,3262
F_EXT_FIL,Flag related to the presence of extrapolated reference functions in the generation of averaged value (ref. Ad-2) (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,3514
F_LAND,Flag related to the use of measurements over land in the generation of averaged value (ref. Ad-2)  (value between 0 and 1),3,n/a,3,42,1,u-integer2,2,252,3766
SIZE OF THE RECORD,,,,,,,,,,4018
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
