FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,
RECORD_HEADER,Generic Record Header,0,,1,1,1,REC_HEAD,20,20,0,
PRIMARY PRT TEMPERATURE PARAMETERS (PIE-A),,,,,,,,,,,
PRIMARY_REF_RESISTANCES,Reference Resistances for the primary PRT Set (Three channels),4,Ohms,3,1,1,Integer4,4,12,20,
PRIMARY_RES_POL_COEFF_PRT_1_F0,PRT 1 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,32,
PRIMARY_RES_POL_COEFF_PRT_1_F1,PRT 1 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,36,
PRIMARY_RES_POL_COEFF_PRT_1_F2,PRT 1 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,40,
PRIMARY_RES_POL_COEFF_PRT_1_F3,PRT 1 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,44,
PRIMARY_RES_POL_COEFF_PRT_2_F0,PRT 2 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,48,
PRIMARY_RES_POL_COEFF_PRT_2_F1,PRT 2 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,52,
PRIMARY_RES_POL_COEFF_PRT_2_F2,PRT 2 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,56,
PRIMARY_RES_POL_COEFF_PRT_2_F3,PRT 2 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,60,
PRIMARY_RES_POL_COEFF_PRT_3_F0,PRT 3 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,64,
PRIMARY_RES_POL_COEFF_PRT_3_F1,PRT 3 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,68,
PRIMARY_RES_POL_COEFF_PRT_3_F2,PRT 3 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,72,
PRIMARY_RES_POL_COEFF_PRT_3_F3,PRT 3 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,76,
PRIMARY_RES_POL_COEFF_PRT_4_F0,PRT 4 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,80,
PRIMARY_RES_POL_COEFF_PRT_4_F1,PRT 4 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,84,
PRIMARY_RES_POL_COEFF_PRT_4_F2,PRT 4 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,88,
PRIMARY_RES_POL_COEFF_PRT_4_F3,PRT 4 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,92,
PRIMARY_RES_POL_COEFF_PRT_5_F0,PRT 5 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,96,
PRIMARY_RES_POL_COEFF_PRT_5_F1,PRT 5 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,100,
PRIMARY_RES_POL_COEFF_PRT_5_F2,PRT 5 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,104,
PRIMARY_RES_POL_COEFF_PRT_5_F3,PRT 5 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,108,
PRIMARY_PRT_WEIGHTS,"PRT weighting coefficients (1 = PRT ok, 0 = bad PRT, 2 = Central PRT ok)",0,NA,5,1,1,integer2,2,10,112,
SECONDARY PRT TEMPERATURE PARAMETERS (PIE-B),,,,,,,,,,,
SECONDARY_REF_RESISTANCES,Reference Resistances for the secondary PRT Set,4,Ohms,3,1,1,integer4,4,12,122,
SECONDARY_RES_POL_COEFF_PRT_1_F0,PRT 1 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,134,
SECONDARY_RES_POL_COEFF_PRT_1_F1,PRT 1 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,138,
SECONDARY_RES_POL_COEFF_PRT_1_F2,PRT 1 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,142,
SECONDARY_RES_POL_COEFF_PRT_1_F3,PRT 1 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,146,
SECONDARY_RES_POL_COEFF_PRT_2_F0,PRT 2 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,150,
SECONDARY_RES_POL_COEFF_PRT_2_F1,PRT 2 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,154,
SECONDARY_RES_POL_COEFF_PRT_2_F2,PRT 2 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,158,
SECONDARY_RES_POL_COEFF_PRT_2_F3,PRT 2 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,162,
SECONDARY_RES_POL_COEFF_PRT_3_F0,PRT 3 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,166,
SECONDARY_RES_POL_COEFF_PRT_3_F1,PRT 3 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,170,
SECONDARY_RES_POL_COEFF_PRT_3_F2,PRT 3 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,174,
SECONDARY_RES_POL_COEFF_PRT_3_F3,PRT 3 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,178,
SECONDARY_RES_POL_COEFF_PRT_4_F0,PRT 4 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,182,
SECONDARY_RES_POL_COEFF_PRT_4_F1,PRT 4 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,186,
SECONDARY_RES_POL_COEFF_PRT_4_F2,PRT 4 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,190,
SECONDARY_RES_POL_COEFF_PRT_4_F3,PRT 4 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,194,
SECONDARY_RES_POL_COEFF_PRT_5_F0,PRT 5 zeroth order resistance-to -temperature conversion,6,K,1,1,1,integer4,4,4,198,
SECONDARY_RES_POL_COEFF_PRT_5_F1,PRT 5 first order resistance-to -temperature conversion,6,K/Ohms,1,1,1,integer4,4,4,202,
SECONDARY_RES_POL_COEFF_PRT_5_F2,PRT 5 second order resistance-to -temperature conversion,10,K/Ohms**2,1,1,1,integer4,4,4,206,
SECONDARY_RES_POL_COEFF_PRT_5_F3,PRT 5 third order resistance-to -temperature conversion,13,K/Ohms**3,1,1,1,integer4,4,4,210,
SECONDARY_PRT_WEIGHTS,"PRT weighting coefficients (1 = PRT ok, 0 = bad PRT, 2 = Central PRT ok)",0,NA,5,1,1,integer2,2,10,214,
INSTRUMENT TEMPERATURE,,,,,,,,,,,
