FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET,
RECORD_HEADER,Generic Record Header,0,,1,1,1,REC_HEAD,20,20,0,
GENERIC QUALITY INDICATORS,,,,,,,,,,20,
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation,NA,NA,1,1,1,boolean,1,1,20,
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation,NA,NA,1,1,1,boolean,1,1,21,
SOURCE PACKET SECONDARY HEADER,,,,,,,,,,22,
UTC_SL_TIME_DAY,UTC SL Time (# of days w.r.t. 171/2000 (day 0)),0,NA,1,1,1,u-integer2,2,2,22,
UTC_SL_TIME_MS,Millisecond of the day,0,ms,1,1,1,u-integer4,4,4,24,
UTC_SL_TIME_MICROSEC,Microseconds of the day,0,microsec.,1,1,1,u-integer2,2,2,28,
MHS ANCILLARY DATA,,,,,,,,,,30,
OB_ICU_TIME_INT,Onboard ICU Time Integer part,0,NA,1,1,1,bitst(24),3,3,30,
OB_ICU_TIME_FRAC,Onboard ICU Time Fractional Part,0,NA,1,1,1,byte,1,1,33,
FULL HK DATA,,,,,,,,,,34,
MODE_SUBCOMM_CODE,see MDR-1A,0,NA,1,1,1,bitst(8),1,1,34,
TELECOMM_ACKN_FAULT,see MDR-1A,0,NA,1,1,1,bitst(40),5,5,35,
SWITCH_STATUS,see MDR-1A,0,NA,1,1,1,bitst(24),3,3,40,
THERMISTOR_TM_CHANNELS,Thermistor TM Channels 1 to 24 (see MDR-1A),0,NA,24,1,1,byte,1,24,43,
5V_SEC_CURRENT,(EE and SM +5V) Secondary Current,0,counts,1,1,1,u-byte,1,1,67,
8V_RECEIVER_CURRENT,(+8V) Receiver Current,0,counts,1,1,1,u-byte,1,1,68,
15V_RECEIVER_CURRENT,(+15V) Receiver Current,0,counts,1,1,1,u-byte,1,1,69,
M15V_RECEIVER_CURRENT,(-15V) Receiver Current,0,counts,1,1,1,u-byte,1,1,70,
RDM_MOTOR_CURRENT,RDM Motor Current,0,counts,1,1,1,u-byte,1,1,71,
FDM_MOTOR_CURRENT,FDM Motor Current,0,counts,1,1,1,u-byte,1,1,72,
STATUS WORD,,,,,,,,,,73,
STATUS_WORD,see MDR-1A,0,counts,1,1,1,bitst(8),1,1,73,
SIGNAL PROCESSING STATUS,,,,,,,,,,74,
CHANNEL_H1_DC_OFFSET,Channel H1 DC offset word,0,counts,1,1,1,u-byte,1,1,74,
CHANNEL_H2_DC_OFFSET,Channel H2 DC offset word,0,counts,1,1,1,u-byte,1,1,75,
CHANNEL_H3_DC_OFFSET,Channel H3 DC offset word,0,counts,1,1,1,u-byte,1,1,76,
CHANNEL_H4_DC_OFFSET,Channel H4 DC offset word,0,counts,1,1,1,u-byte,1,1,77,
CHANNEL_H5_DC_OFFSET,Channel H5 DC offset word,0,counts,1,1,1,u-byte,1,1,78,
CHANNEL_VALID,Channel Validity,0,N/A,1,1,1,bitst(8),1,1,79,
GAIN_CODE,Gain Settings of the Receiver    ,0,N/A,3,1,1,bitst(8),1,3,80,
MEASUREMENT DATA,,,,,,,,,,83,
SCENE_RADIANCES,Scene Radiances (Channels H1-H5) - (Fields of View 1 - 90),7,mW/m2/sr/cm-1,5,90,1,integer4,4,1800,83,
FOV_DATA QUALITY,FOV data quality Flags,0,NA,90,1,1,bitst(32),4,360,1883,
POSITION VALIDITY FLAGS,,,,,,,,,,2243,
EARTH_VIEW_POSITION_FLAG,Earth view position validity flags (see MDR-1A),0,N/A,12,1,1,u-byte,1,12,2243,
SPACE_VIEW_POSITION_FLAG,Space view position validity flags (see MDR-1A),0,N/A,1,1,1,u-byte,1,1,2255,
OBCT_VIEW_POSITION_FLAG,Internal calibration target view position validity flag (see MDR-1A),0,N/A,1,1,1,u-byte,1,1,2256,
OBCT TEMPERATURE DATA,,,,,,,,,,2257,
PRT1_TEMPERATURE,bit 0-3  : 0 (unused)                      bit 4-15: On Board Target Temperature 1 (PRT1)  ,0,counts,1,1,1,u-integer2,2,2,2257,
PRT2_TEMPERATURE,bit 0-3  : 0 (unused)                      bit 4-15: On Board Target Temperature 2 (PRT2)  ,0,counts,1,1,1,u-integer2,2,2,2259,
PRT3_TEMPERATURE,bit 0-3  : 0 (unused)                      bit 4-15: On Board Target Temperature 3 (PRT3)  ,0,counts,1,1,1,u-integer2,2,2,2261,
PRT4_TEMPERATURE,bit 0-3  : 0 (unused)                      bit 4-15: On Board Target Temperature 4 (PRT4)  ,0,counts,1,1,1,u-integer2,2,2,2263,
PRT5_TEMPERATURE,bit 0-3  : 0 (unused)                      bit 4-15: On Board Target Temperature 5 (PRT5)  ,0,counts,1,1,1,u-integer2,2,2,2265,
CAL_CHAN_1,bit 0-3: 0 (unused)                      bit 4-15: PRT Calibration 1: 118 Ohms,0,counts,1,1,1,u-integer2,2,2,2267,
CAL_CHAN_2,bit 0-3: 0 (unused)                      bit 4-15: PRT Calibration 2: 95.3 Ohms,0,counts,1,1,1,u-integer2,2,2,2269,
CAL_CHAN_3,bit 0-3: 0 (unused)                      bit 4-15: PRT Calibration 3: 80.6 Ohms,0,counts,1,1,1,u-integer2,2,2,2271,
RESISTANCE PARAMETERS,,,,,,,,,,2273,
RESISTANCE_SLOPE,Slope m of the resistance equation,6,Ohm/counts,1,1,1,u-integer4,4,4,2273,
RESISTANCE_OFFSET,Offset Roff of the resistance equation,2,Ohm ,1,1,1,u-integer4,4,4,2277,
RESISTANCE_PRT_1,Resistance value of PRT 1,2,Ohm ,1,1,1,u-integer4,4,4,2281,
RESISTANCE_PRT_2,Resistance value of PRT 2,2,Ohm ,1,1,1,u-integer4,4,4,2285,
RESISTANCE_PRT_3,Resistance value of PRT 3,2,Ohm ,1,1,1,u-integer4,4,4,2289,
RESISTANCE_PRT_4,Resistance value of PRT 4,2,Ohm ,1,1,1,u-integer4,4,4,2293,
RESISTANCE_PRT_5,Resistance value of PRT 5,2,Ohm ,1,1,1,u-integer4,4,4,2297,
TEMPERATURE_PRT_1,Temperature of PRT 1,3,K ,1,1,1,u-integer4,4,4,2301,
