FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET
RECORD_HEADER,Generic Record Header,,,1,1,1,rec_head,20,20,0
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation.,,,1,1,1,boolean,1,1,20
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation.,,,1,1,1,boolean,1,1,21
OUTPUT_SELECTION,Calibrated radiance or sun-normalised radiance,,,1,1,1,enumerated,1,1,22
F_NN_DT,Flag indicating non-nominal detector temperature per channel,,,1,1,1,bitst(8),1,1,23
F_NN_PDP,Flag indicating non-nominal detector pre-disperser temperature per channel,,,1,1,1,boolean,1,1,24
F_NN_RAD,Flag indicating non-nominal radiator temperature,,,1,1,1,boolean,1,1,25
F_NN_WLS_U,Flag indicating non-nominal WLS voltage,,,1,1,1,boolean,1,1,26
F_NN_WLS_I,Flag indicating non-nominal WLS current,,,1,1,1,boolean,1,1,27
F_NN_SLS_U,Flag indicating non-nominal SLS voltage,,,1,1,1,boolean,1,1,28
F_NN_SLS_I,Flag indicating non-nominal SLS current,,,1,1,1,boolean,1,1,29
F_INV_UTC,Flag indicating invalid UTC,,,1,1,1,boolean,1,1,30
F_MISS,Flag indicating missing data packets,,,1,1,1,boolean,1,1,31
F_SAT,Flag indicating saturated pixels per 10 bands and 32 read-outs,,,10,1,1,bitst(32),4,40,32
F_HOT,Flag indicating hot pixels per 10 bands and 32 read-outs,,,10,1,1,bitst(32),4,40,72
F_SAA,Flag indicating whether scan is in the SAA per 32 read-outs,,,1,1,1,bitst(32),4,4,112
F_SUNGLINT_RISK,Flag indicating danger of sun-glint per 32 read-outs,,,1,1,1,bitst(32),4,4,116
F_SUNGLINT_HIGH_RISK,Flag indicating high danger of sun-glint per 32 read-outs,,,1,1,1,bitst(32),4,4,120
F_RAINBOW,Flag indicating danger of rainbow per 32 read-outs,,,1,1,1,bitst(32),4,4,124
