FIELD,DESCRIPTION,SF,UNITS,DIM1,DIM2,DIM3,TYPE,TYPE SIZE,FIELD SIZE,OFFSET
RECORD_HEADER,Generic record header,NA,NA,1,1,1,REC_HEAD,20,20,0
GENERIC QUALITY INDICATORS,,,,,,,,,,20
DEGRADED_INST_MDR,Quality of MDR has been degraded from nominal due to an instrument degradation,NA,NA,1,1,1,boolean,1,1,20
DEGRADED_PROC_MDR,Quality of MDR has been degraded from nominal due to a processing degradation,NA,NA,1,1,1,boolean,1,1,21
First guess profiles,,,,,,,,,,22
FG_ATMOSPHERIC_TEMPERATURE,A-priori temperature profile (for 120 FOV with up to 101 vertical levels),2,K,NLT,120,1,u-integer2,2,24240,22
FG_ATMOSPHERIC_WATER_VAPOUR,A-priori water vapour profile (for 30 EFOV with up to 101 vertical levels),7,kg/kg,NLQ,120,1,u-integer4,4,48480,24262
FG_ATMOSPHERIC_OZONE,A-priori ozone profile (for 30 EFOV with up to 101 vertical levels),8,kg/kg,NLO,120,1,u-integer2,2,24240,72742
FG_SURFACE_TEMPERATURE,A-priori surface skin temperature,2,K,120,1,1,u-integer2,2,240,96982
FG_QI_ATMOSPHERIC_TEMPERATURE,Quality indicator for a-priori temperature profile,1,NA,120,1,1,u-byte,1,120,97222
FG_QI_ATMOSPHERIC_WATER_VAPOUR,Quality indicator for a-priori water vapour profile,1,NA,120,1,1,u-byte,1,120,97342
FG_QI_ATMOSPHERIC_OZONE,Quality indicator for a-priori ozone profile,1,NA,120,1,1,u-byte,1,120,97462
FG_QI_SURFACE_TEMPERATURE,Quality indicator for a-priori surface skin temperature,1,NA,120,1,1,u-byte,1,120,97582
MEASUREMENT DATA,,,,,,,,,,97702
ATMOSPHERIC_TEMPERATURE,Temperature (for 120 IFOV with up to 101 vertical levels),2,K,NLT,120,1,u-integer2,2,24240,97702
ATMOSPHERIC_WATER_VAPOUR,Water vapour (for 120 IFOV with up to 101 vertical levels),7,kg/kg,NLQ,120,1,u-integer4,4,48480,121942
ATMOSPHERIC_OZONE,Ozone (for 120 IFOV with up to 101 vertical levels),8,kg/kg,NLO,120,1,u-integer2,2,24240,170422
SURFACE_TEMPERATURE,Surface temperature (for 120 IFOV),2,K,120,1,1,u-integer2,2,240,194662
INTEGRATED_WATER_VAPOUR,Integrated water vapour (for 120 IFOV),2,kg.m^-2,120,1,1,u-integer2,2,240,194902
INTEGRATED_OZONE,Integrated ozone (for 120 IFOV),6,kg.m^-2,120,1,1,u-integer2,2,240,195142
INTEGRATED_N2O,Integrated N20 (for 120 IFOV),6,kg.m^-2,120,1,1,u-integer2,2,240,195382
INTEGRATED_CO,Integrated CO (for 120 IFOV),7,kg.m^-2,120,1,1,u-integer2,2,240,195622
INTEGRATED_CH4,Integrated CH4 (for 120 IFOV),6,kg.m^-2,120,1,1,u-integer2,2,240,195862
INTEGRATED_CO2,Integrated CO2 ( for 120 IFOV),3,kg.m^-2,120,1,1,u-integer2,2,240,196102
SURFACE_EMISSIVITY,Surface emissivity (for 120 IFOV with up to 20 wavelengths),4,NA,NEW,120,1,u-integer2,2,2880,196342
NUMBER_CLOUD_FORMATIONS,Number of cloud formations in IFOV,0,NA,120,1,1,u-byte,1,120,199222
FRACTIONAL_CLOUD_COVER,Fractional cloud cover (for 120 IFOV with up to 3 cloud formations),2,%,3,120,1,u-integer2,2,720,199342
CLOUD_TOP_TEMPERATURE,Cloud top temperature (for 120 IFOV with up to 3 cloud formations),2,K,3,120,1,u-integer2,2,720,200062
CLOUD_TOP_PRESSURE,Cloud top pressure (for 120 IFOV with up to 3 cloud formations),0,Pa,3,120,1,u-integer4,4,1440,200782
CLOUD_PHASE,"Cloud Phase (for 120 IFOV with up to 3 cloud formations) (0 = no cloud, 1 = liquid, 2 = ice, 3 = mixed, 255 = undefined)",0,NA,3,120,1,enumerated,1,360,202222
SURFACE_PRESSURE,Surface pressure,0,Pa,120,1,1,u-integer4,4,480,202582
INSTRUMENT ,,,,,,,,,,203062
INSTRUMENT_MODE,Instrument mode. This is a copy of the MDR-1C flag GEPSIasiMode as defined in the IASI L1 PFS.,0,NA,1,1,1,enumerated,1,1,203062
NAVIGATION DATA AT SCAN LINE,,,,,,,,,,203063
SPACECRAFT_ALTITUDE,Spacecraft Altitude Above Reference Geoid (MSL) ,1,km,1,1,1,u-integer4,4,4,203063
NAVIGATION DATA AT IFOV,,,,,,,,,,203067
ANGULAR_RELATION,"Angular relationships: solar zenith angle, satellite zenith angle, solar azimuth angle, satellite azimuth angle for 120 IFOV ",2,deg,4,120,1,integer2,2,960,203067
EARTH_LOCATION,"Earth Location: latitude, longitude of surface footprint (for 120 IFOV)",4,deg,2,120,1,integer4,4,960,204027
PROCESSING AND QUALITY FLAGS,,,,,,,,,,204987
FLG_AMSUBAD,Availability and quality of AMSU measurements,NA,NA,120,1,1,enumerated,1,120,204987
FLG_AVHRRBAD,Availability and quality of AVHRR measurements,NA,NA,120,1,1,enumerated,1,120,205107
FLG_CLDFRM,Origin of characterisation of the cloud formations,NA,NA,120,1,1,bitst(8),1,120,205227
FLG_CLDNES,Cloudiness assessment summary,NA,NA,120,1,1,enumerated,1,120,205347
FLG_CLDTST,Details of cloud tests exectued and their results,NA,NA,120,1,1,bitst(16),2,240,205467
FLG_DAYNIT,Discrimination between day and night,NA,NA,120,1,1,enumerated,1,120,205707
FLG_DUSTCLD,Indicates presence of dust clouds in the IFOV,NA,NA,120,1,1,u-byte,1,120,205827
FLG_FGCHECK,Check that geophysical parameters from the first guess are within bounds,NA,NA,120,1,1,bitst(16),2,240,205947
FLG_IASIBAD,Availability and quality of IASI L1 measurements,NA,NA,120,1,1,enumerated,1,120,206187
FLG_INITIA,Indicates the measurements used in the first guess retrieval,NA,NA,120,1,1,bitst(8),1,120,206307
FLG_ITCONV,Convergence and acceptance of the OEM result,NA,NA,120,1,1,enumerated,1,120,206427
FLG_LANSEA,Specifies surface type,NA,NA,120,1,1,enumerated,1,120,206547
FLG_MHSBAD,Availability and quality of MHS measurements,NA,NA,120,1,1,enumerated,1,120,206667
FLG_NUMIT,Number of iterations in the OEM,0,NA,120,1,1,u-byte,1,120,206787
FLG_NWPBAD,Availability and quality of NWP data,NA,NA,120,1,1,enumerated,1,120,206907
FLG_PHYSCHECK,Indicates potential corrections for superadiabatic and supersaturation conditions,NA,NA,120,1,1,bitst(8),1,120,207027
FLG_RETCHECK,Check that geophysical parameters from the OEM are within bounds,NA,NA,120,1,1,bitst(16),2,240,207147
FLG_SATMAN,Indication of satellite manouevre,NA,NA,120,1,1,enumerated,1,120,207387
FLG_SUNGLNT,Identification of sun glint,NA,NA,120,1,1,enumerated,1,120,207507
FLG_THICIR,Thin cirrus cloud test,NA,NA,120,1,1,enumerated,1,120,207627
ERROR_DATA,,,,,,,,,,207747
NERR,Number of error data records for current scan line,0,NA,1,1,1,u-byte,1,1,207747
ERROR_DATA_INDEX,Index of the error data record corresponding to the IFOVs in the line (=255 if N/A),NA,NA,120,1,1,u-byte,1,120,207748
TEMPERATURE_ERROR,Retrieval error covariance matrix for temperature in principal component domain,NA,NA,NERRT,NERR,1,bitst(32),4,48720,207868
WATER_VAPOUR_ERROR,Retrieval error covariance matrix for water-vapour in principal component domain,NA,NA,NERRW,NERR,1,bitst(32),4,20520,256588
OZONE_ERROR,Retrieval error covariance matrix for ozone in principal component domain,NA,NA,NERRO,NERR,1,bitst(32),4,6600,277108
FORLI_GENERAL,,,,,,,,,,283708
SURFACE_Z,Altitude of surface ,0,m,120,1,1,integer2,2,240,283708
FORLI_CO,,,,,,,,,,283948
CO_QFLAG,General retrieval quality flag,NA,NA,120,1,1,enumerated,1,120,283948
CO_BDIV,Retrieval flags,NA,NA,120,1,1,bitst(32),4,480,284068
CO_NPCA,Number of vectors describing the characterization matrices,0,NA,120,1,1,u-byte,1,120,284548
CO_NFITLAYERS,Number of layers actually retrieved,0,NA,120,1,1,u-byte,1,120,284668
CO_NBR,Number of CO profiles retrieved in scanline,0,NA,1,1,1,u-byte,1,1,284788
CO_CP_AIR,Air partial columns on each retrieved layer,-20,molecules/cm2,NL_CO,CO_NBR,1,u-integer2,2,1900,284789
CO_CP_CO_A,A-priori partial columns for CO en each retrieved layer,-13,molecules/cm2,NL_CO,CO_NBR,1,u-integer2,2,1900,286689
CO_X_CO,Scaling vector multiplying the a-priori CO vector in order to define the retrieved CO vector. ,NA,NA,NL_CO,CO_NBR,1,vu-integer2,3,2850,288589
CO_H_EIGENVALUES,Main eigenvalues of the sensitivity matrix,NA,NA,NEVA_CO,CO_NBR,1,v-integer4,5,2500,291439
CO_H_EIGENVECTORS,Main eigenvectors of the sensitivity matrix,NA,NA,NEVE_CO,CO_NBR,1,v-integer4,5,47500,293939
FORLI_HNO3,,,,,,,,,,341439
HNO3_QFLAG,General retrieval quality flag,NA,NA,120,1,1,enumerated,1,120,341439
HNO3_BDIV,Retrieval flags,NA,NA,120,1,1,bitst(32),4,480,341559
HNO3_NPCA,Number of vectors describing the characterization matrices,0,NA,120,1,1,u-byte,1,120,342039
HNO3_NFITLAYERS,Number of layers actually retrieved,0,NA,120,1,1,u-byte,1,120,342159
HNO3_NBR,Number of HNO3 profiles retrieved in scanline,0,NA,1,1,1,u-byte,1,1,342279
HNO3_CP_AIR,Air partial columns on each retrieved layer,-20,molecules/cm2,NL_HNO3,HNO3_NBR,1,u-integer2,2,4100,342280
HNO3_CP_HNO3_A,A-priori partial columns for HNO3 in each retrieved layer,-11,molecules/cm2,NL_HNO3,HNO3_NBR,1,u-integer2,2,4100,346380
HNO3_X_HNO3,Scaling vector multiplying the a-priori HNO3 vector in order to define the retrieved HNO3 vector. ,NA,NA,NL_HNO3,HNO3_NBR,1,vu-integer2,3,6150,350480
HNO3_H_EIGENVALUES,Main eigenvalues of the sensitivity matrix,NA,NA,NEVA_HNO3,HNO3_NBR,1,v-integer4,5,5250,356630
HNO3_H_EIGENVECTORS,Main eigenvectors of the sensitivity matrix,NA,NA,NEVE_HNO3,HNO3_NBR,1,v-integer4,5,215250,361880
FORLI_O3,,,,,,,,,,577130
O3_QFLAG,General retrieval quality flag,NA,NA,120,1,1,enumerated,1,120,577130
O3_BDIV,Retrieval flags,NA,NA,120,1,1,bitst(32),4,480,577250
O3_NPCA,Number of vectors describing the characterization matrices,0,NA,120,1,1,u-byte,1,120,577730
O3_NFITLAYERS,Number of layers actually retrieved,0,NA,120,1,1,u-byte,1,120,577850
O3_NBR,Number of O3 profiles retrieved in scanline,0,NA,1,1,1,u-byte,1,1,577970
O3_CP_AIR,Air partial columns on each retrieved layer,-20,molecules/cm2,NL_O3,O3_NBR,1,u-integer2,2,4100,577971
O3_CP_O3_A,A-priori partial columns for O3 en each retrieved layer,-14,molecules/cm2,NL_O3,O3_NBR,1,u-integer2,2,4100,582071
